國文,英文,數學,社會,自然
13,8,12,14,9
13,13,9,13,11
9,10,8,7,9
12,15,10,13,9
8,6,11,15,9
7,13,8,6,9
7,6,13,6,8
9,14,11,15,7
10,14,7,8,11
7,15,14,13,15
9,12,13,9,12
14,8,13,9,12
10,10,14,15,10
13,6,12,14,11
13,6,8,8,10
9,11,6,7,14
9,10,9,8,8
6,10,11,6,9
7,15,8,8,14
9,10,14,10,9
11,11,8,13,6
7,8,11,9,8
14,12,8,11,9
14,10,14,14,11
9,8,14,6,12
12,11,13,9,15
10,6,12,7,15
14,13,15,6,14
12,13,14,13,11
6,7,11,10,10
12,14,15,6,13
14,14,12,8,12
8,10,8,6,13
15,6,7,14,10
13,13,6,13,11
15,10,13,8,6
13,6,15,7,14
12,10,8,15,11
8,15,9,10,15
14,11,14,15,12
9,12,9,11,14
8,6,10,12,11
9,7,9,14,13
8,7,15,15,10
10,13,11,6,15
9,11,6,14,10
9,12,7,10,7
8,8,7,7,10
13,14,13,8,8
7,7,8,11,7
15,6,7,13,13
8,13,14,12,13
11,10,12,10,6
13,12,10,12,6
14,10,13,13,14
14,15,10,15,12
6,11,12,10,6
8,9,9,13,6
7,6,15,11,11
8,13,14,12,8
12,7,6,13,15
6,10,7,13,6
15,10,15,8,6
14,6,13,11,7
13,10,7,14,13
11,15,11,15,9
13,13,11,8,15
15,13,7,14,10
7,15,9,12,10
7,7,7,9,11
14,9,13,6,9
14,15,7,15,10
14,7,11,13,11
11,12,6,13,9
6,13,11,9,9
14,7,12,8,8
11,15,6,10,10
15,7,9,10,14
7,13,14,11,11
8,10,14,15,10
11,9,11,11,9
8,14,15,6,8
6,15,12,12,7
10,10,14,10,10
9,14,9,6,9
8,14,10,15,14
14,12,7,8,7
15,9,14,10,8
13,9,14,6,7
6,13,6,10,7
12,13,11,13,11
8,9,10,14,14
13,6,7,13,6
9,7,14,14,14
12,15,12,7,11
7,9,14,8,15
12,11,15,12,9
9,7,7,6,7
7,13,10,12,7
6,10,7,8,11
